brawler,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,released,star_power_1,gadget_1,star_power_2,gadget_2,hypercharge,buffies
Emz,,,,,,,,,,,,,,,,A,B,S,S,C,C,C,C,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,C,D,S,S,10/23/19,10/23/19,03/19/20,11/06/19,03/01/22,06/25/24,12/16/25
Bea,,,,,,,,,,,,,,,,,S,A,A,B,C,A,C,C,B,B,B,B,S,S,S,S,A,A,A,A,B,B,C,B,C,B,C,A,A,A,B,B,B,B,12/18/19,12/18/19,03/20/20,01/01/20,10/30/20,02/25/25,
Max,,,,,,,,,,,,,,,,,A,S,A,S,S,A,S,A,B,B,A,A,S,S,A,S,S,B,B,B,B,B,S,A,A,A,A,A,A,B,B,A,A,B,12/21/19,12/21/19,03/21/20,01/01/20,10/23/20,04/23/24,
Mr. P,,,,,,,,,,,,,,,,,S,S,S,S,A,A,B,B,F,B,A,B,D,F,D,D,D,A,A,B,B,C,B,D,D,D,F,S,A,B,B,C,D,F,01/23/20,01/23/20,03/22/20,02/05/20,02/12/21,02/25/25,
Jacky,,,,,,,,,,,,,,,,,,S,S,A,A,B,C,F,C,F,F,F,D,F,F,C,D,D,D,A,A,B,B,B,C,C,B,C,B,B,C,D,C,F,03/17/20,03/17/20,03/23/20,03/25/20,04/27/22,09/22/23,
Gale,,,,,,,,,,,,,,,,,,,B,S,A,F,F,F,B,A,A,A,A,A,B,D,D,C,F,B,B,B,B,A,S,A,A,C,C,C,C,B,C,B,05/13/20,05/13/20,05/13/20,06/03/20,07/22/21,06/25/24,
Sprout,,,,,,,,,,,,,,,,,,,S,B,A,B,S,A,A,B,A,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,B,A,C,C,C,C,C,B,04/10/20,04/10/20,04/10/20,04/22/20,11/13/20,02/27/24,
Nani,,,,,,,,,,,,,,,,,,,,B,B,A,B,A,B,B,B,C,C,C,C,C,B,C,S,S,A,A,A,B,B,B,B,C,C,D,D,B,B,B,06/05/20,06/05/20,06/05/20,06/17/20,02/19/21,08/27/24,
Surge,,,,,,,,,,,,,,,,,,,,S,B,A,B,B,B,B,A,A,A,A,A,A,A,B,C,B,D,D,C,B,S,S,S,A,C,C,C,C,C,C,07/06/20,07/06/20,07/06/20,08/03/20,04/27/22,08/27/24,
Amber,,,,,,,,,,,,,,,,,,,,,B,F,A,A,B,B,B,B,A,A,B,B,A,B,B,B,A,S,A,A,A,A,A,A,A,A,A,A,A,A,10/23/20,10/23/20,10/23/20,11/13/20,04/27/22,05/12/25,
Colette,,,,,,,,,,,,,,,,,,,,,S,A,A,C,C,B,B,B,A,A,A,A,B,A,B,S,S,A,A,A,B,B,B,A,B,B,C,D,C,D,09/14/20,09/14/20,09/14/20,10/02/20,03/01/22,10/24/23,
Lou,,,,,,,,,,,,,,,,,,,,,A,A,B,C,F,F,B,B,C,B,B,B,B,B,B,S,S,B,C,B,B,B,A,A,A,A,A,B,B,B,11/23/20,11/23/20,11/23/20,12/22/20,07/28/21,10/24/23,
Byron,,,,,,,,,,,,,,,,,,,,,,S,A,A,A,S,S,A,C,D,F,C,C,D,A,A,B,B,S,A,A,A,A,B,B,B,S,A,A,A,12/16/20,12/16/20,12/16/20,01/13/21,03/01/22,09/11/25,
Edgar,,,,,,,,,,,,,,,,,,,,,,A,C,B,F,F,F,F,F,F,F,F,F,F,F,F,A,B,C,C,C,D,D,D,D,F,F,D,F,F,12/19/20,12/19/20,12/19/20,01/18/21,07/08/21,12/12/23,
Belle,,,,,,,,,,,,,,,,,,,,,,,S,S,A,A,A,A,A,A,A,A,A,A,A,A,A,A,S,A,B,B,B,B,B,B,B,B,B,B,04/12/21,04/12/21,04/12/21,05/12/21,03/01/22,02/27/24,
Ruffs,,,,,,,,,,,,,,,,,,,,,,,A,A,B,A,S,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,B,B,C,C,A,A,A,B,02/01/21,02/01/21,02/01/21,02/24/21,07/15/21,11/04/24,
